key,customer_name,city,credit_limit
normal_key_747,普通客户747,上海,84700
normal_key_748,普通客户748,上海,84800
normal_key_749,普通客户749,上海,84900
normal_key_750,普通客户750,上海,85000
normal_key_751,普通客户751,上海,85100
normal_key_752,普通客户752,上海,85200
normal_key_753,普通客户753,上海,85300
normal_key_754,普通客户754,上海,85400
normal_key_755,普通客户755,上海,85500
normal_key_756,普通客户756,上海,85600
normal_key_757,普通客户757,上海,85700
normal_key_758,普通客户758,上海,85800
normal_key_759,普通客户759,上海,85900
normal_key_760,普通客户760,上海,86000
normal_key_761,普通客户761,上海,86100
normal_key_762,普通客户762,上海,86200
normal_key_763,普通客户763,上海,86300
normal_key_764,普通客户764,上海,86400
normal_key_765,普通客户765,上海,86500
normal_key_766,普通客户766,上海,86600
normal_key_767,普通客户767,上海,86700
normal_key_768,普通客户768,上海,86800
normal_key_769,普通客户769,上海,86900
normal_key_770,普通客户770,上海,87000
normal_key_771,普通客户771,上海,87100
normal_key_772,普通客户772,上海,87200
normal_key_773,普通客户773,上海,87300
normal_key_774,普通客户774,上海,87400
normal_key_775,普通客户775,上海,87500
normal_key_776,普通客户776,上海,87600
normal_key_777,普通客户777,上海,87700
normal_key_778,普通客户778,上海,87800
normal_key_779,普通客户779,上海,87900
normal_key_780,普通客户780,上海,88000
normal_key_781,普通客户781,上海,88100
normal_key_782,普通客户782,上海,88200
normal_key_783,普通客户783,上海,88300
normal_key_784,普通客户784,上海,88400
normal_key_785,普通客户785,上海,88500
normal_key_786,普通客户786,上海,88600
normal_key_787,普通客户787,上海,88700
normal_key_788,普通客户788,上海,88800
normal_key_789,普通客户789,上海,88900
normal_key_790,普通客户790,上海,89000
normal_key_791,普通客户791,上海,89100
normal_key_792,普通客户792,上海,89200
normal_key_793,普通客户793,上海,89300
normal_key_794,普通客户794,上海,89400
normal_key_795,普通客户795,上海,89500
normal_key_796,普通客户796,上海,89600
normal_key_797,普通客户797,上海,89700
normal_key_798,普通客户798,上海,89800
normal_key_799,普通客户799,上海,89900
normal_key_800,普通客户800,上海,90000
normal_key_801,普通客户801,上海,90100
normal_key_802,普通客户802,上海,90200
normal_key_803,普通客户803,上海,90300
normal_key_804,普通客户804,上海,90400
normal_key_805,普通客户805,上海,90500
normal_key_806,普通客户806,上海,90600
normal_key_807,普通客户807,上海,90700
normal_key_808,普通客户808,上海,90800
normal_key_809,普通客户809,上海,90900
normal_key_810,普通客户810,上海,91000
normal_key_811,普通客户811,上海,91100
normal_key_812,普通客户812,上海,91200
normal_key_813,普通客户813,上海,91300
normal_key_814,普通客户814,上海,91400
normal_key_815,普通客户815,上海,91500
normal_key_816,普通客户816,上海,91600
normal_key_817,普通客户817,上海,91700
normal_key_818,普通客户818,上海,91800
normal_key_819,普通客户819,上海,91900
normal_key_820,普通客户820,上海,92000
normal_key_821,普通客户821,上海,92100
normal_key_822,普通客户822,上海,92200
normal_key_823,普通客户823,上海,92300
normal_key_824,普通客户824,上海,92400
normal_key_825,普通客户825,上海,92500
normal_key_826,普通客户826,上海,92600
normal_key_827,普通客户827,上海,92700
normal_key_828,普通客户828,上海,92800
normal_key_829,普通客户829,上海,92900
normal_key_830,普通客户830,上海,93000
normal_key_831,普通客户831,上海,93100
normal_key_832,普通客户832,上海,93200
normal_key_833,普通客户833,上海,93300
normal_key_834,普通客户834,上海,93400
normal_key_835,普通客户835,上海,93500
normal_key_836,普通客户836,上海,93600
normal_key_837,普通客户837,上海,93700
normal_key_838,普通客户838,上海,93800
normal_key_839,普通客户839,上海,93900
normal_key_840,普通客户840,上海,94000
normal_key_841,普通客户841,上海,94100
normal_key_842,普通客户842,上海,94200
normal_key_843,普通客户843,上海,94300
normal_key_844,普通客户844,上海,94400
normal_key_845,普通客户845,上海,94500
normal_key_846,普通客户846,上海,94600
normal_key_847,普通客户847,上海,94700
normal_key_848,普通客户848,上海,94800
normal_key_849,普通客户849,上海,94900
normal_key_850,普通客户850,上海,95000
normal_key_851,普通客户851,上海,95100
normal_key_852,普通客户852,上海,95200
normal_key_853,普通客户853,上海,95300
normal_key_854,普通客户854,上海,95400
normal_key_855,普通客户855,上海,95500
normal_key_856,普通客户856,上海,95600
normal_key_857,普通客户857,上海,95700
normal_key_858,普通客户858,上海,95800
normal_key_859,普通客户859,上海,95900
normal_key_860,普通客户860,上海,96000
normal_key_861,普通客户861,上海,96100
normal_key_862,普通客户862,上海,96200
normal_key_863,普通客户863,上海,96300
normal_key_864,普通客户864,上海,96400
normal_key_865,普通客户865,上海,96500
normal_key_866,普通客户866,上海,96600
normal_key_867,普通客户867,上海,96700
normal_key_868,普通客户868,上海,96800
normal_key_869,普通客户869,上海,96900
normal_key_870,普通客户870,上海,97000
normal_key_871,普通客户871,上海,97100
normal_key_872,普通客户872,上海,97200
normal_key_873,普通客户873,上海,97300
normal_key_874,普通客户874,上海,97400
normal_key_875,普通客户875,上海,97500
normal_key_876,普通客户876,上海,97600
normal_key_877,普通客户877,上海,97700
normal_key_878,普通客户878,上海,97800
normal_key_879,普通客户879,上海,97900
normal_key_880,普通客户880,上海,98000
normal_key_881,普通客户881,上海,98100
normal_key_882,普通客户882,上海,98200
normal_key_883,普通客户883,上海,98300
normal_key_884,普通客户884,上海,98400
normal_key_885,普通客户885,上海,98500
normal_key_886,普通客户886,上海,98600
normal_key_887,普通客户887,上海,98700
normal_key_888,普通客户888,上海,98800
normal_key_889,普通客户889,上海,98900
normal_key_890,普通客户890,上海,99000
normal_key_891,普通客户891,上海,99100
normal_key_892,普通客户892,上海,99200
normal_key_893,普通客户893,上海,99300
normal_key_894,普通客户894,上海,99400
normal_key_895,普通客户895,上海,99500
normal_key_896,普通客户896,上海,99600
normal_key_897,普通客户897,上海,99700
normal_key_898,普通客户898,上海,99800
normal_key_899,普通客户899,上海,99900
normal_key_900,普通客户900,上海,100000
normal_key_901,普通客户901,上海,100100
normal_key_902,普通客户902,上海,100200
