emp_id,姓名,age,性别,department,job,city,salary,education,work_year,is_married
6,赵静,26,女,人事部,HR,成都,16243.0,本科,3,否
13,卫强,30,男,人事部,招聘专员,广州,16243.0,本科,5,否
20,许曼,31,女,人事部,培训专员,苏州,16243.0,本科,7,是
27,唐浩,25,男,人事部,行政专员,武汉,7200.0,大专,2,否
34,钟敏,29,女,人事部,薪酬绩效,深圳,16243.0,本科,5,是
46,欧阳静,34,女,人事部,HRBP,成都,16243.0,硕士,12,是
57,史浩,32,男,人事部,行政主管,武汉,16243.0,本科,8,是
67,文浩,26,男,人事部,企业文化,武汉,8800.0,本科,3,否
82,纪芳,34,女,人事部,人事经理,上海,16243.0,硕士,10,是
97,周浩,30,男,人事部,员工关系,武汉,16243.0,本科,6,否
107,于强,25,男,人事部,HR,武汉,16243.0,大专,2,否
115,袁洋,31,男,人事部,招聘专员,杭州,8100.0,大专,7,否
136,洪静,29,女,人事部,HRBP,成都,16243.0,硕士,5,否
147,娄浩,30,男,人事部,行政主管,武汉,8900.0,本科,6,否
157,廉浩,26,男,人事部,企业文化,武汉,8700.0,本科,3,否
172,申芳,34,女,人事部,人事经理,上海,16243.0,硕士,10,是
187,刁浩,30,男,人事部,员工关系,武汉,16243.0,本科,6,否
197,景强,25,男,人事部,HR,武汉,16243.0,大专,2,否
205,华洋,31,男,人事部,招聘专员,杭州,8000.0,大专,7,否
226,桂静,29,女,人事部,HRBP,成都,16243.0,硕士,5,否
237,戚浩,30,男,人事部,行政主管,武汉,8800.0,本科,6,否
247,卫浩,26,男,人事部,企业文化,武汉,8600.0,本科,3,否
262,舒芳,34,女,人事部,人事经理,上海,16243.0,硕士,10,是
277,郁浩,30,男,人事部,员工关系,武汉,16243.0,本科,6,否
287,戚浩,25,男,人事部,HR,武汉,16243.0,大专,2,否
295,浦洋,31,男,人事部,招聘专员,杭州,7900.0,大专,7,否
