emp_id,姓名,age,性别,department,job,city,salary,education,work_year,is_married
4,李娜,29,女,市场部,市场专员,深圳,11200.0,本科,5,否
10,孙佳,27,女,市场部,品牌推广,苏州,13000.0,本科,3,否
17,朱波,36,男,市场部,区域经理,武汉,32000.0,本科,12,是
24,任敏,30,女,市场部,活动策划,深圳,16243.0,本科,6,否
31,夏磊,35,男,市场部,营销总监,北京,45000.0,硕士,11,是
38,温丽,24,女,市场部,渠道专员,重庆,8700.0,大专,2,否
43,范强,29,男,市场部,新媒体主编,广州,13500.0,本科,5,否
49,薛强,30,,市场部,公关专员,南京,12800.0,本科,6,否
55,易洋,31,男,市场部,销售代表,杭州,16000.0,大专,7,否
62,杨芳,27,女,市场部,广告投放,上海,11500.0,本科,4,否
68,吕芳,34,女,市场部,市场策划,重庆,15200.0,本科,9,否
74,尹敏,35,女,市场部,商务经理,深圳,26000.0,本科,12,是
79,雷强,33,男,市场部,销售主管,南京,19500.0,大专,9,是
85,王洋,32,男,市场部,媒介专员,杭州,13800.0,大专,8,否
91,秦浩,33,,市场部,品牌经理,北京,27000.0,硕士,9,是
99,卢强,32,男,市场部,区域销售,南京,21000.0,大专,8,是
104,谢敏,31,女,市场部,市场专员,深圳,12200.0,本科,7,否
111,高浩,26,男,市场部,品牌推广,北京,13500.0,本科,3,否
117,姜浩,35,男,市场部,区域经理,武汉,31000.0,本科,12,是
122,严芳,25,女,市场部,活动策划,上海,12800.0,本科,2,否
128,戚芳,27,女,市场部,渠道专员,重庆,8600.0,大专,4,否
133,兰强,30,男,市场部,新媒体主编,广州,13200.0,本科,6,否
139,柴强,28,男,市场部,公关专员,南京,12500.0,本科,5,否
145,范洋,32,男,市场部,销售代表,杭州,15500.0,大专,8,否
152,俞芳,29,,市场部,广告投放,上海,11200.0,本科,5,否
158,辛芳,30,,市场部,市场策划,重庆,15000.0,本科,6,否
164,祝敏,32,,市场部,商务经理,深圳,25000.0,本科,8,否
169,荣强,25,男,市场部,销售主管,南京,19000.0,大专,3,否
175,庄洋,30,男,市场部,媒介专员,杭州,13600.0,大专,6,否
181,蒋磊,33,,市场部,品牌经理,北京,26000.0,硕士,9,否
189,国强,27,男,市场部,区域销售,南京,20500.0,大专,5,否
194,舒敏,31,,市场部,市场专员,深圳,12000.0,本科,7,否
201,苗浩,26,男,市场部,品牌推广,北京,13300.0,本科,3,否
207,伏浩,35,男,市场部,区域经理,武汉,30000.0,本科,12,是
212,舒芳,25,,市场部,活动策划,上海,12600.0,本科,2,否
218,齐芳,27,,市场部,渠道专员,重庆,8500.0,大专,4,否
223,曲强,30,男,市场部,新媒体主编,广州,13000.0,本科,6,否
229,杭强,28,男,市场部,公关专员,南京,12300.0,本科,5,否
235,乐洋,32,男,市场部,销售代表,杭州,15300.0,大专,8,否
242,贺芳,29,,市场部,广告投放,上海,11000.0,本科,5,否
248,刘芳,30,,市场部,市场策划,重庆,14800.0,本科,6,否
254,关敏,32,,市场部,商务经理,深圳,24500.0,本科,8,否
259,谈强,25,男,市场部,销售主管,南京,18800.0,大专,3,否
265,须洋,30,男,市场部,媒介专员,杭州,13500.0,大专,6,否
271,麦磊,33,,市场部,品牌经理,北京,25500.0,硕士,9,否
279,杭强,27,男,市场部,区域销售,南京,20000.0,大专,5,否
284,卫敏,31,,市场部,市场专员,深圳,11800.0,本科,7,否
291,费磊,26,男,市场部,品牌推广,北京,13200.0,本科,3,否
297,卫浩,35,男,市场部,区域经理,武汉,29500.0,本科,12,是
