emp_id,姓名,age,性别,department,job,city,salary,education,work_year,is_married
5,陈阳,35,男,财务部,财务主管,杭州,22000.0,本科,10,是
12,褚洁,23,女,财务部,出纳,上海,7500.0,大专,1,否
19,尤勇,22,男,财务部,会计,南京,6800.0,大专,0,否
25,袁野,27,男,财务部,成本会计,杭州,8900.0,大专,4,否
32,傅芳,23,女,财务部,费用会计,上海,7100.0,大专,1,否
39,江洋,32,男,财务部,税务会计,南京,9500.0,本科,6,否
45,司马洋,22,男,财务部,实习生,杭州,4500.0,本科,0,否
52,罗芳,35,女,财务部,财务经理,上海,29000.0,硕士,11,是
60,钱敏,23,女,财务部,财务助理,苏州,6200.0,大专,0,否
69,方强,28,男,财务部,审计专员,南京,10800.0,本科,5,否
75,熊洋,23,男,财务部,核算会计,杭州,7800.0,大专,1,否
81,贺磊,25,男,财务部,出纳,北京,6900.0,大专,2,否
89,范强,28,男,财务部,财务分析,南京,14000.0,本科,5,否
96,戴静,27,女,财务部,成本管理,成都,9800.0,本科,4,否
105,崔浩,27,男,财务部,财务主管,杭州,19000.0,本科,4,否
113,孔强,29,男,财务部,出纳,广州,7300.0,大专,5,否
123,柳强,29,男,财务部,成本会计,广州,9100.0,大专,5,否
129,臧强,31,男,财务部,税务会计,南京,9700.0,本科,7,否
135,施洋,24,男,财务部,实习生,杭州,4200.0,本科,1,否
142,宋芳,34,女,财务部,财务经理,上海,28000.0,硕士,10,是
150,阮敏,24,女,财务部,财务助理,苏州,6100.0,大专,1,否
159,管强,33,男,财务部,审计专员,南京,10600.0,本科,9,否
165,巩洋,24,男,财务部,核算会计,杭州,7600.0,大专,2,否
171,晋磊,31,男,财务部,出纳,北京,6800.0,大专,7,否
179,阎强,26,男,财务部,财务分析,南京,13800.0,本科,3,否
186,桂静,26,女,财务部,成本管理,成都,9600.0,本科,3,否
195,岳浩,28,男,财务部,财务主管,杭州,18500.0,本科,5,否
203,狄强,29,男,财务部,出纳,广州,7200.0,大专,5,否
213,敖强,29,男,财务部,成本会计,广州,9000.0,大专,5,否
219,康强,31,男,财务部,税务会计,南京,9600.0,本科,7,否
225,滕洋,24,男,财务部,实习生,杭州,4100.0,本科,1,否
232,洪芳,34,女,财务部,财务经理,上海,27500.0,硕士,10,是
240,卞敏,24,,财务部,财务助理,苏州,6000.0,大专,1,否
249,刘强,33,男,财务部,审计专员,南京,10500.0,本科,9,否
255,米洋,24,男,财务部,核算会计,杭州,7500.0,大专,2,否
261,庞磊,31,男,财务部,出纳,北京,6700.0,大专,7,否
269,伍强,26,男,财务部,财务分析,南京,13600.0,本科,3,否
276,桂静,26,女,财务部,成本管理,成都,9500.0,本科,3,否
285,乐洋,28,男,财务部,财务主管,杭州,18000.0,本科,5,否
293,贺强,29,男,财务部,出纳,广州,7100.0,大专,5,否
