key,customer_name,city,credit_limit
normal_key_247,普通客户247,上海,34700
normal_key_248,普通客户248,上海,34800
normal_key_249,普通客户249,上海,34900
normal_key_250,普通客户250,上海,35000
normal_key_251,普通客户251,上海,35100
normal_key_252,普通客户252,上海,35200
normal_key_253,普通客户253,上海,35300
normal_key_254,普通客户254,上海,35400
normal_key_255,普通客户255,上海,35500
normal_key_256,普通客户256,上海,35600
normal_key_257,普通客户257,上海,35700
normal_key_258,普通客户258,上海,35800
normal_key_259,普通客户259,上海,35900
normal_key_260,普通客户260,上海,36000
normal_key_261,普通客户261,上海,36100
normal_key_262,普通客户262,上海,36200
normal_key_263,普通客户263,上海,36300
normal_key_264,普通客户264,上海,36400
normal_key_265,普通客户265,上海,36500
normal_key_266,普通客户266,上海,36600
normal_key_267,普通客户267,上海,36700
normal_key_268,普通客户268,上海,36800
normal_key_269,普通客户269,上海,36900
normal_key_270,普通客户270,上海,37000
normal_key_271,普通客户271,上海,37100
normal_key_272,普通客户272,上海,37200
normal_key_273,普通客户273,上海,37300
normal_key_274,普通客户274,上海,37400
normal_key_275,普通客户275,上海,37500
normal_key_276,普通客户276,上海,37600
normal_key_277,普通客户277,上海,37700
normal_key_278,普通客户278,上海,37800
normal_key_279,普通客户279,上海,37900
normal_key_280,普通客户280,上海,38000
normal_key_281,普通客户281,上海,38100
normal_key_282,普通客户282,上海,38200
normal_key_283,普通客户283,上海,38300
normal_key_284,普通客户284,上海,38400
normal_key_285,普通客户285,上海,38500
normal_key_286,普通客户286,上海,38600
normal_key_287,普通客户287,上海,38700
normal_key_288,普通客户288,上海,38800
normal_key_289,普通客户289,上海,38900
normal_key_290,普通客户290,上海,39000
normal_key_291,普通客户291,上海,39100
normal_key_292,普通客户292,上海,39200
normal_key_293,普通客户293,上海,39300
normal_key_294,普通客户294,上海,39400
normal_key_295,普通客户295,上海,39500
normal_key_296,普通客户296,上海,39600
normal_key_297,普通客户297,上海,39700
normal_key_298,普通客户298,上海,39800
normal_key_299,普通客户299,上海,39900
normal_key_300,普通客户300,上海,40000
normal_key_301,普通客户301,上海,40100
normal_key_302,普通客户302,上海,40200
normal_key_303,普通客户303,上海,40300
normal_key_304,普通客户304,上海,40400
normal_key_305,普通客户305,上海,40500
normal_key_306,普通客户306,上海,40600
normal_key_307,普通客户307,上海,40700
normal_key_308,普通客户308,上海,40800
normal_key_309,普通客户309,上海,40900
normal_key_310,普通客户310,上海,41000
normal_key_311,普通客户311,上海,41100
normal_key_312,普通客户312,上海,41200
normal_key_313,普通客户313,上海,41300
normal_key_314,普通客户314,上海,41400
normal_key_315,普通客户315,上海,41500
normal_key_316,普通客户316,上海,41600
normal_key_317,普通客户317,上海,41700
normal_key_318,普通客户318,上海,41800
normal_key_319,普通客户319,上海,41900
normal_key_320,普通客户320,上海,42000
normal_key_321,普通客户321,上海,42100
normal_key_322,普通客户322,上海,42200
normal_key_323,普通客户323,上海,42300
normal_key_324,普通客户324,上海,42400
normal_key_325,普通客户325,上海,42500
normal_key_326,普通客户326,上海,42600
normal_key_327,普通客户327,上海,42700
normal_key_328,普通客户328,上海,42800
normal_key_329,普通客户329,上海,42900
normal_key_330,普通客户330,上海,43000
normal_key_331,普通客户331,上海,43100
normal_key_332,普通客户332,上海,43200
normal_key_333,普通客户333,上海,43300
normal_key_334,普通客户334,上海,43400
normal_key_335,普通客户335,上海,43500
normal_key_336,普通客户336,上海,43600
normal_key_337,普通客户337,上海,43700
normal_key_338,普通客户338,上海,43800
normal_key_339,普通客户339,上海,43900
normal_key_340,普通客户340,上海,44000
normal_key_341,普通客户341,上海,44100
normal_key_342,普通客户342,上海,44200
normal_key_343,普通客户343,上海,44300
normal_key_344,普通客户344,上海,44400
normal_key_345,普通客户345,上海,44500
normal_key_346,普通客户346,上海,44600
normal_key_347,普通客户347,上海,44700
normal_key_348,普通客户348,上海,44800
normal_key_349,普通客户349,上海,44900
normal_key_350,普通客户350,上海,45000
normal_key_351,普通客户351,上海,45100
normal_key_352,普通客户352,上海,45200
normal_key_353,普通客户353,上海,45300
normal_key_354,普通客户354,上海,45400
normal_key_355,普通客户355,上海,45500
normal_key_356,普通客户356,上海,45600
normal_key_357,普通客户357,上海,45700
normal_key_358,普通客户358,上海,45800
normal_key_359,普通客户359,上海,45900
normal_key_360,普通客户360,上海,46000
normal_key_361,普通客户361,上海,46100
normal_key_362,普通客户362,上海,46200
normal_key_363,普通客户363,上海,46300
normal_key_364,普通客户364,上海,46400
normal_key_365,普通客户365,上海,46500
normal_key_366,普通客户366,上海,46600
normal_key_367,普通客户367,上海,46700
normal_key_368,普通客户368,上海,46800
normal_key_369,普通客户369,上海,46900
normal_key_370,普通客户370,上海,47000
normal_key_371,普通客户371,上海,47100
normal_key_372,普通客户372,上海,47200
normal_key_373,普通客户373,上海,47300
normal_key_374,普通客户374,上海,47400
normal_key_375,普通客户375,上海,47500
normal_key_376,普通客户376,上海,47600
normal_key_377,普通客户377,上海,47700
normal_key_378,普通客户378,上海,47800
normal_key_379,普通客户379,上海,47900
normal_key_380,普通客户380,上海,48000
normal_key_381,普通客户381,上海,48100
normal_key_382,普通客户382,上海,48200
normal_key_383,普通客户383,上海,48300
normal_key_384,普通客户384,上海,48400
normal_key_385,普通客户385,上海,48500
normal_key_386,普通客户386,上海,48600
normal_key_387,普通客户387,上海,48700
normal_key_388,普通客户388,上海,48800
normal_key_389,普通客户389,上海,48900
normal_key_390,普通客户390,上海,49000
normal_key_391,普通客户391,上海,49100
normal_key_392,普通客户392,上海,49200
normal_key_393,普通客户393,上海,49300
normal_key_394,普通客户394,上海,49400
normal_key_395,普通客户395,上海,49500
normal_key_396,普通客户396,上海,49600
normal_key_397,普通客户397,上海,49700
normal_key_398,普通客户398,上海,49800
normal_key_399,普通客户399,上海,49900
normal_key_400,普通客户400,上海,50000
normal_key_401,普通客户401,上海,50100
normal_key_402,普通客户402,上海,50200
normal_key_403,普通客户403,上海,50300
normal_key_404,普通客户404,上海,50400
normal_key_405,普通客户405,上海,50500
normal_key_406,普通客户406,上海,50600
normal_key_407,普通客户407,上海,50700
normal_key_408,普通客户408,上海,50800
normal_key_409,普通客户409,上海,50900
normal_key_410,普通客户410,上海,51000
normal_key_411,普通客户411,上海,51100
normal_key_412,普通客户412,上海,51200
normal_key_413,普通客户413,上海,51300
normal_key_414,普通客户414,上海,51400
normal_key_415,普通客户415,上海,51500
normal_key_416,普通客户416,上海,51600
normal_key_417,普通客户417,上海,51700
normal_key_418,普通客户418,上海,51800
normal_key_419,普通客户419,上海,51900
normal_key_420,普通客户420,上海,52000
normal_key_421,普通客户421,上海,52100
normal_key_422,普通客户422,上海,52200
normal_key_423,普通客户423,上海,52300
normal_key_424,普通客户424,上海,52400
normal_key_425,普通客户425,上海,52500
normal_key_426,普通客户426,上海,52600
normal_key_427,普通客户427,上海,52700
normal_key_428,普通客户428,上海,52800
normal_key_429,普通客户429,上海,52900
normal_key_430,普通客户430,上海,53000
normal_key_431,普通客户431,上海,53100
normal_key_432,普通客户432,上海,53200
normal_key_433,普通客户433,上海,53300
normal_key_434,普通客户434,上海,53400
normal_key_435,普通客户435,上海,53500
normal_key_436,普通客户436,上海,53600
normal_key_437,普通客户437,上海,53700
normal_key_438,普通客户438,上海,53800
normal_key_439,普通客户439,上海,53900
normal_key_440,普通客户440,上海,54000
normal_key_441,普通客户441,上海,54100
normal_key_442,普通客户442,上海,54200
normal_key_443,普通客户443,上海,54300
normal_key_444,普通客户444,上海,54400
normal_key_445,普通客户445,上海,54500
normal_key_446,普通客户446,上海,54600
normal_key_447,普通客户447,上海,54700
normal_key_448,普通客户448,上海,54800
normal_key_449,普通客户449,上海,54900
normal_key_450,普通客户450,上海,55000
normal_key_451,普通客户451,上海,55100
normal_key_452,普通客户452,上海,55200
normal_key_453,普通客户453,上海,55300
normal_key_454,普通客户454,上海,55400
normal_key_455,普通客户455,上海,55500
normal_key_456,普通客户456,上海,55600
normal_key_457,普通客户457,上海,55700
normal_key_458,普通客户458,上海,55800
normal_key_459,普通客户459,上海,55900
normal_key_460,普通客户460,上海,56000
normal_key_461,普通客户461,上海,56100
normal_key_462,普通客户462,上海,56200
normal_key_463,普通客户463,上海,56300
normal_key_464,普通客户464,上海,56400
normal_key_465,普通客户465,上海,56500
normal_key_466,普通客户466,上海,56600
normal_key_467,普通客户467,上海,56700
normal_key_468,普通客户468,上海,56800
normal_key_469,普通客户469,上海,56900
normal_key_470,普通客户470,上海,57000
normal_key_471,普通客户471,上海,57100
normal_key_472,普通客户472,上海,57200
normal_key_473,普通客户473,上海,57300
normal_key_474,普通客户474,上海,57400
normal_key_475,普通客户475,上海,57500
normal_key_476,普通客户476,上海,57600
normal_key_477,普通客户477,上海,57700
normal_key_478,普通客户478,上海,57800
normal_key_479,普通客户479,上海,57900
normal_key_480,普通客户480,上海,58000
normal_key_481,普通客户481,上海,58100
normal_key_482,普通客户482,上海,58200
normal_key_483,普通客户483,上海,58300
normal_key_484,普通客户484,上海,58400
normal_key_485,普通客户485,上海,58500
normal_key_486,普通客户486,上海,58600
normal_key_487,普通客户487,上海,58700
normal_key_488,普通客户488,上海,58800
normal_key_489,普通客户489,上海,58900
normal_key_490,普通客户490,上海,59000
normal_key_491,普通客户491,上海,59100
normal_key_492,普通客户492,上海,59200
normal_key_493,普通客户493,上海,59300
normal_key_494,普通客户494,上海,59400
normal_key_495,普通客户495,上海,59500
normal_key_496,普通客户496,上海,59600
